District,Seat,Constituency_title,Candidate_Name,Party
Kasur,Kasur-IV,NA-140,sardar muhammad atif nakai,INDEPENDENT
Kasur,Kasur-IV,NA-140,faisal hayat,Pakistan Tehreek-e-Insaaf Nazriati
Kasur,Kasur-IV,NA-140,mohammad arshad saqi,INDEPENDENT
Kasur,Kasur-IV,NA-140,mohammad ramzan,MUTTHIDA MAJLISAY  AMAl. PAKISTAN
Kasur,Kasur-IV,NA-140,maqsood ahamad khan,Pakistan Peoples Party Parlimentarians
Kasur,Kasur-IV,NA-140,nasir ali,INDEPENDENT
Okara,Okara-I,NA-141,Khalil-ur-Rehman,INDEPENDENT
Okara,Okara-I,NA-141,Saeed ur Rehman,INDEPENDENT
Okara,Okara-I,NA-141,Sohail Arshad chaudary,INDEPENDENT
Okara,Okara-I,NA-141,syed simsam ali shar bukhari,Pakistan Tehreek-e-Insaaf
Okara,Okara-I,NA-141,ghulam mujtha,Pakistan Peoples Party Parlimentarians
Okara,Okara-I,NA-141,muhammad bilal saeed,INDEPENDENT
Okara,Okara-I,NA-141,masood shafqat,INDEPENDENT
Okara,Okara-I,NA-141,nadeem abbas,Pakistan Muslim League(N)
Okara,Okara-I,NA-141,noor-ul-ain ray,INDEPENDENT
Okara,Okara-II,NA-142,Hafiz muhammad abid attary,Tehreek e labbaik islam
Okara,Okara-II,NA-142,rao hassan sikandar,Pakistan Tehreek-e-Insaaf
Okara,Okara-II,NA-142,riaz ul haq,Pakistan Muslim League(N)
Okara,Okara-II,NA-142,shamla shukat,Tehreek Labbaik Pakistan
Okara,Okara-II,NA-142,sheraz zafar,INDEPENDENT
Okara,Okara-II,NA-142,fayaz zafar,INDEPENDENT
Okara,Okara-II,NA-142,muhammad arsalan,Pakitan Tehreek e insaf Gulalai
Okara,Okara-II,NA-142,muhammad arshad iqbal,INDEPENDENT
Okara,Okara-II,NA-142,muhammad akram,INDEPENDENT
Okara,Okara-II,NA-142,muhammad tariq khan,Pakistan Peoples Party Parlimentarians
Okara,Okara-II,NA-142,muhammad abid ali khan,Pakistan kissan Ittehad
Okara,Okara-II,NA-142,mian abdul rasheed,INDEPENDENT
Okara,Okara-III,NA-143,Tanveer hussain,Pakistan Peoples Party Parlimentarians
Okara,Okara-III,NA-143,javed iqbal,Tehreek Labbaik Pakistan
Okara,Okara-III,NA-143,rao fahad ajmal,Pakistan Tehreek-e-Insaaf Nazriati
Okara,Okara-III,NA-143,rao muhammad ajmal khan,Pakistan Muslim League(N)
Okara,Okara-III,NA-143,rao muhammad safdar khan,INDEPENDENT
Okara,Okara-III,NA-143,syed raza ali gillani,INDEPENDENT
Okara,Okara-III,NA-143,syed salman hasnain,INDEPENDENT
Okara,Okara-III,NA-143,syed abbas raza rizvi,INDEPENDENT
Okara,Okara-III,NA-143,syed ali  abbas gillani,INDEPENDENT
Okara,Okara-III,NA-143,syed gulzar sibtain shah,Pakistan Tehreek e insaf
Okara,Okara-III,NA-143,syed muhammad ali gillani,INDEPENDENT
Okara,Okara-III,NA-143,ali nawaz syed kirmani,INDEPENDENT
Okara,Okara-III,NA-143,mian khuram jehangir watto,INDEPENDENT
Okara,Okara-III,NA-143,Mian manzoor ahamad khan watto,INDEPENDENT
Okara,Okara-IV,NA-144,chand bibi,INDEPENDENT
Okara,Okara-IV,NA-144,Rubina shaheen watto,INDEPENDENT
Okara,Okara-IV,NA-144,sardar ali haider kahn,INDEPENDENT
Okara,Okara-IV,NA-144,syed razaa ali gillani,INDEPENDENT
Okara,Okara-IV,NA-144,syed muhammad ali gillani,INDEPENDENT
Okara,Okara-IV,NA-144,Shahzad zulfiqar ali,Pakistan Peoples Party Parlimentarians
Okara,Okara-IV,NA-144,muhammad jamil khan,Tehreek Labbaik Pakistan
Okara,Okara-IV,NA-144,muhammad hussain,INDEPENDENT
Okara,Okara-IV,NA-144,muhammd moeen watto,Pakistan Muslim League(N)
Okara,Okara-IV,NA-144,mian khurram jehangir watto,INDEPENDENT
Okara,Okara-IV,NA-144,mian muhammd fayyaz,INDEPENDENT
Okara,Okara-IV,NA-144,Mian manzoor ahamad khan watto,INDEPENDENT
Okara,Okara-IV,NA-144,Noor ul amin watto,INDEPENDENT
Pakpattan,Pakpattan-I,NA-145,Ahmad raza manka,Pakistan Muslim League(N)
Pakpattan,Pakpattan-I,NA-145,asgar ali,INDEPENDENT
Pakpattan,Pakpattan-I,NA-145,chaudary javed ahmad,INDEPENDENT
Pakpattan,Pakpattan-I,NA-145,zulfiqar ali khan,Pakistan Human Party
Pakpattan,Pakpattan-I,NA-145,rao azmat  ullah,MUTTHIDA MAJLISAY  AMAl. PAKISTAN
Pakpattan,Pakpattan-I,NA-145,sardar mansab ali dogar,INDEPENDENT
Pakpattan,Pakpattan-I,NA-145,abdul ghafoor,INDEPENDENT
Pakpattan,Pakpattan-I,NA-145,muhammad shah khagga,Pakistan Tehreek-e-Insaaf
Pakpattan,Pakpattan-I,NA-145,nadeem iqbal,INDEPENDENT
Pakpattan,Pakpattan-I,NA-145,naseem hashim khan,INDEPENDENT
Pakpattan,Pakpattan-II,NA-146,AHMAD ZEESHAN ,Allah-o-Akhar Tehreek
Pakpattan,Pakpattan-II,NA-146,JAHANGEER,Pakistan Kissan Ittehad 
Pakpattan,Pakpattan-II,NA-146,RAJA TALIA SAEED,Independent
Pakpattan,Pakpattan-II,NA-146,RASHID MINHAS,Independent
Pakpattan,Pakpattan-II,NA-146,RANA IRADAT SHARIF KHAN,Independent
Pakpattan,Pakpattan-II,NA-146,RANA ZAHID HUSSAIN KHAN ,Pakistan Muslim League (N)
Pakpattan,Pakpattan-II,NA-146,SHAUKAT ALI BAJWA,Pakistan Peoples Party Parlementarians
Pakpattan,Pakpattan-II,NA-146,SAIMA KASHIFAT UL FIRDOUS,Independent
Pakpattan,Pakpattan-II,NA-146,GHULAM HASAN,Independent
Pakpattan,Pakpattan-II,NA-146,GHULAM MUSTFA,Pakistan Human Party
Pakpattan,Pakpattan-II,NA-146,MUHAMMAD HAIDER SULTAN,Independent
Pakpattan,Pakpattan-II,NA-146,MUHAMMAD FAROOQ,Independent
Pakpattan,Pakpattan-II,NA-146,MUHAMMAD KASHIF SARWAR,Tehreek Labbaik Pakistan
Pakpattan,Pakpattan-II,NA-146,MIAN EJAZ HUSSAIN SABAR,Independent
Pakpattan,Pakpattan-II,NA-146,MIAN HUHAMMAD AMJAD JOIYA,Pakistan Tehreek-e-Insaf
Pakpattan,Pakpattan-II,NA-146,WASEEM ZAFAR,Independent
Sahiwal,Sahiwal-I,NA-147,AFTAB AHMAD KHAN,Independent
Sahiwal,Sahiwal-I,NA-147,ALTAF NAWAZ,Independent
Sahiwal,Sahiwal-I,NA-147,BASHIR AHMAD,Independent
Sahiwal,Sahiwal-I,NA-147,CHAUDARY NOORAIZ SHAKOOR KHAN,Pakistan Tehreek-e-insaf
Sahiwal,Sahiwal-I,NA-147,HAFIZ KHALID MEHMOOD ZAFAR,Independent
Sahiwal,Sahiwal-I,NA-147,KHALID SADDIQUE KAMYANA,Tehreek Labbaik Pakistan
Sahiwal,Sahiwal-I,NA-147,RANA AMIR SHAHZAD TAHIR,Pakistan Peoples Party Parlementarians
Sahiwal,Sahiwal-I,NA-147,SYED IMRAN AHMAD SHAH,Pakistan Muslim League (N)
Sahiwal,Sahiwal-I,NA-147,SAFAR IQBAL,Tehreek Labbaik Pakistan
Sahiwal,Sahiwal-I,NA-147,ADNAN KHALID HUSSAIN,Pakistan Muslim League Organization
Sahiwal,Sahiwal-I,NA-147,IMRAN UL HAQ,Pakistan Quami Yakjehti Party
Sahiwal,Sahiwal-I,NA-147,MUHAMMAD ALI SHAKOOR,Independent
Sahiwal,Sahiwal-I,NA-147,MUHAMMAD NAEEM ASIF,Independent
Sahiwal,Sahiwal-I,NA-147,MIRAJ HAMEED,Independent
Sahiwal,Sahiwal-I,NA-147,NAZAR FARID NADEEM,Independent
Sahiwal,Sahiwal-I,NA-147,HAROON ZAMAN KHAGGA,Independent
Sahiwal,Sahiwal-II,NA-148,CHAUDRY MUHAMMAD ASHRAF,Pakistan Muslim League (N)
Sahiwal,Sahiwal-II,NA-148,RAI MUNSAF SHABEER AHMAD,Tehreek Labbaik Pakistan
Sahiwal,Sahiwal-II,NA-148,SANI MINHAS,Independent
Sahiwal,Sahiwal-II,NA-148,TARIQ AZIZ,Awam League
Sahiwal,Sahiwal-II,NA-148,UMAIR JAVED,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Sahiwal,Sahiwal-II,NA-148,GHULAM FARID KATHIA,Pakistan Peoples Party Parlementarians
Sahiwal,Sahiwal-II,NA-148,MUHAMMAD AMJAD,All Pakistan Muslim League
Sahiwal,Sahiwal-II,NA-148,MUHAMMAD TANVEER CHOUDRY,Independent
Sahiwal,Sahiwal-II,NA-148,MALIK MUHAMMAD RAMZAN,Independent
Sahiwal,Sahiwal-II,NA-148,MALIK MUHAMMAD YAR DHAKOO,Pakistan Tehreek-e-Insaf
Sahiwal,Sahiwal-III,NA-149,AMNA NAAZ,National Party
Sahiwal,Sahiwal-III,NA-149,RANA AHAMID,All Pakistan Muslim League
Sahiwal,Sahiwal-III,NA-149,RAI MUHAMMAD MURTAZA IQBAL,Pakistan Tehreek-e-Insaf
Sahiwal,Sahiwal-III,NA-149,ASHIQ HUSSAIN,Independent
Sahiwal,Sahiwal-III,NA-149,ALI JAVED,Pakistan Peoples Party Parlementarians
Sahiwal,Sahiwal-III,NA-149,MUHAMMAD ARSHAD,Independent
Sahiwal,Sahiwal-III,NA-149,MUHAMMAD ARSHRAF,Allah-o-Akhar Tehreek
Sahiwal,Sahiwal-III,NA-149,MUHAMMAD HAQ NAWAZ KHAN,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Sahiwal,Sahiwal-III,NA-149,MUHAMMAD HAMZA,Independent
Sahiwal,Sahiwal-III,NA-149,MUHAMMAD SHAKEEL,Tehreek Labbaik Pakistan
Sahiwal,Sahiwal-III,NA-149,MUHAMMAD TUFAIL,Pakistan muslim league(N)
Sahiwal,Sahiwal-III,NA-149,MASOOD KHAN,Independent
Khanewal,Khanewal-I,NA-150,IJAZ AHMAD KHAN,Pakistan Peoples Party Parlementarians
Khanewal,Khanewal-I,NA-150,RANA MUHAMMAD IMRAN,Independent
Khanewal,Khanewal-I,NA-150,SAEED AHMAD SARGANA,Pakistan Muslim League (N)
Khanewal,Khanewal-I,NA-150,SYED FAKHAR IMAM,Independent
Khanewal,Khanewal-I,NA-150,ABDUL KHALIQ REHMANI,Independent
Khanewal,Khanewal-I,NA-150,ABDUL MAJEED ANWAR,Independent
Khanewal,Khanewal-I,NA-150,MUHAMMAD KHAWAR TASADUQ,Independent
Khanewal,Khanewal-I,NA-150,MUHAMMAD RAZA HAYAT MIRAJ,Pakistan Tehreek-e-Insaf
Khanewal,Khanewal-II,NA-151,AHMAD YAR HIRAJ,Pakistan Tehreek-e-Insaf
Khanewal,Khanewal-II,NA-151,BADAR MUNEER CH.,Allah-o-Akhar Tehreek
Khanewal,Khanewal-II,NA-151,ABID MEHMOOD,Independent
Khanewal,Khanewal-II,NA-151,MUHAMMAD AKRAM,Pakistan Rah-e-Haq Party
Khanewal,Khanewal-II,NA-151,MUHAMMAD KHAN DAHA,Pakistan Muslim League (N)
Khanewal,Khanewal-II,NA-151,MUHAMMAD AMIR SOHAIL,Tehreek Labbaik Pakistan
Khanewal,Khanewal-II,NA-151,MUHAMMAD UMER DRAZ KHALID,Independent
Khanewal,Khanewal-III,NA-152,PIR M ASLAM BODLA SIDDIQUI,Pakistan Muslim League (N)
Khanewal,Khanewal-III,NA-152,HAIDER ZAMAN QURESHI,Pakistan Peoples Party Parlementarians
Khanewal,Khanewal-III,NA-152,ZAHOOR HUSSAIN QURESHI,Pakistan Tehreek-e-Insaf
Khanewal,Khanewal-III,NA-152,GHULAM HAIDER,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Khanewal,Khanewal-III,NA-152,MUHAMMAD ASHRAF,Independent
Khanewal,Khanewal-III,NA-152,MUHAMMAD SHAFIQ UL REHMAN,Tehreek Labbaik Pakistan
Khanewal,Khanewal-IV,NA-153,AURANGZAIB ALIMGIR,Independent
Khanewal,Khanewal-IV,NA-153,CHAUDRY IFTIKHAR NAZIR,Pakistan Muslim League (N)
Khanewal,Khanewal-IV,NA-153,ATTA-UR-RAHMAN,Independent
Khanewal,Khanewal-IV,NA-153,GHULAM ABBAS,Tehreek Labbaik Pakistan
Khanewal,Khanewal-IV,NA-153,MUHANNAD ANWAR,Pakistan Kissan Ittehad (ch.anwar)
Khanewal,Khanewal-IV,NA-153,MUHAMMAD SOHAIL ZAMAN SHAH,Independent
Khanewal,Khanewal-IV,NA-153,MALIK GHULAM MURTAZA,Pakistan Tehreek-e-Insaf
Multan,Multan-I,NA-154,AHMAD HUSSAIN,Pakistan Tehreek-e-Insaf
Multan,Multan-I,NA-154,IRAM GULL,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Multan,Multan-I,NA-154,ANEELA IFTIKHAR,All Pakistan Muslim League
Multan,Multan-I,NA-154,RANA AMEEQ UR REHMAN,Independent
Multan,Multan-I,NA-154,SIKANDAR HAYAT KHAN BOSAN,Independent
Multan,Multan-I,NA-154,SYED ABDUL QADIR GILLANI,Pakistan Peoples Party Parlementarians
Multan,Multan-I,NA-154,SHOUKAT HAYAT BOSAN,Independent
Multan,Multan-I,NA-154,TAHIR RAZZAQ,Independent
Multan,Multan-I,NA-154,MUHAMMAD TALAL ZOHAIB,Pakistan Siraiki Party (T)
Multan,Multan-I,NA-154,MAKHDOOM SYED MUHAMMAD SHER ALI SHAH,Independent
Multan,Multan-I,NA-154,MALIK AZHAR AHMAD SANDILA,Tehreek Labbaik Pakistan
Multan,Multan-I,NA-154,MALIK NOOR HUSSAIN DEHAR,Independent
Multan,Multan-I,NA-154,MIAN MUHAMMAD SULEMAN ALI QURESHI,Pakistan Muslim League (N)
Multan,Multan-II,NA-155,RANA NADEEM AHMAD,Independent
Multan,Multan-II,NA-155,SYED TAQI HAIDAR SHAH,All Pakistan Muslim League
Multan,Multan-II,NA-155,ABDUL SATTAR KHAN TAREEN,Independent
Multan,Multan-II,NA-155,IMRAN MUSTAFA KHOKHAR,pakistan sunni tehreek
Multan,Multan-II,NA-155,KARAMAT ALI,Pak Sarzameen Party
Multan,Multan-II,NA-155,MUHAMMAD ARSHAD BHATTI,Allah-o-Akhar Tehreek
Multan,Multan-II,NA-155,MUHAMMAD AYOUB,Tehreek Labbaik Pakistan
Multan,Multan-II,NA-155,MUHAMMAD KHALID KHAKWANI,Independent
Multan,Multan-II,NA-155,MUHAMMAD TARIQ RASHEED,Pakistan Muslim League (N)
Multan,Multan-II,NA-155,MUHAMMAD ATIF IMRAN,Mustaqbil Pakistan
Multan,Multan-II,NA-155,MUHAMMAD ALEEM,Tehreek-e-Labbaik Islam
Multan,Multan-II,NA-155,MUHAMMAD HASHIM RASHEED,Independent
Multan,Multan-II,NA-155,MAZHAR ABBAS,Independent
Multan,Multan-II,NA-155,MALIK LIAQAT ALI DOGAR,Independent
Multan,Multan-II,NA-155,MALIK MUHAMMAD AAMIR DOGAR,Pakistan Tehreek-e-Insaf
Multan,Multan-II,NA-155,NOSHIN AFSHAN,Awami National Party
Multan,Multan-III,NA-156,CHAUDHRY MUHAMMAD DIN,Independent
Multan,Multan-III,NA-156,CH. MUHAMMAD ABDULLAH KHAN,Allah-o-Akhar Tehreek
Multan,Multan-III,NA-156,SULTAN MEHMOOD MALIK,All Pakistan Muslim League
Multan,Multan-III,NA-156,SYED TANWIR UL HASSAN GILLANI,Independent
Multan,Multan-III,NA-156,SHAHZAD MUMTAZ,Independent
Multan,Multan-III,NA-156,SABA FAISAL,Pakistan awami raj
Multan,Multan-III,NA-156,TAHIR ALMAS,Pakistan kissan ittehad(Ch. Anwar)
Multan,Multan-III,NA-156,AMIR SAEED ANSARI,Pakistan Muslim League (N)
Multan,Multan-III,NA-156,MUHAMMAD ASGHAR,Tehreek Labbaik Pakistan
Multan,Multan-III,NA-156,MAKHDOOM SHAH MAHMOOD HUSSAIN QURESHI,Pakistan Tehreek-e-Insaf
Multan,Multan-III,NA-156,MADEEM MUMTAZ QURESHI,Mustaqbil Pakistan
Multan,Multan-III,NA-156,NAQEEB ULLAH,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Multan,Multan-IV,NA-157,ASGHAR HUSSAIN SHAH,Independent
Multan,Multan-IV,NA-157,CHUDHARY MUHAMMAD DEEN,Independent
Multan,Multan-IV,NA-157,SAYED ALI MOOSA GILANI,Pakistan Peoples Party Parlementarians
Multan,Multan-IV,NA-157,AAMIR ILYAS DOGAR,Independent
Multan,Multan-IV,NA-157,ABDUL GHAFAR,Pakistan Muslim League (N)
Multan,Multan-IV,NA-157,MUHANNAD RAMZAN,Tehreek Labbaik Pakistan
Multan,Multan-IV,NA-157,MUHANNAD WAQAS DOGAR,Independent
Multan,Multan-IV,NA-157,MAKHDOOM ZAIN HUSSAIN QURESHI,Pakistan Tehreek-e-Insaf
Multan,Multan-V,NA-158,ALLAH NAWAZ,Pakistan Siraiki Party (T)
Multan,Multan-V,NA-158,ZAIN ALI SHAH,Independent
Multan,Multan-V,NA-158,SYED JAVED ALI SHAH,Pakistan Muslim League (N)
Multan,Multan-V,NA-158,SYED YUSUF RAZA GILANI,Pakistan Peoples Party Parlementarians
Multan,Multan-V,NA-158,MUHAMMAD IBRAHIM KHAN,Pakistan Tehreek-e-Insaf
Multan,Multan-V,NA-158,MUHAMMAD TALAL ZOHAIB,Independent
Multan,Multan-V,NA-158,MUHAMMAD IMRAN SHAUKAT KHAN,Independent
Multan,Multan-VI,NA-159,DEWAN SYED MUHAMMAD HAIDER ALI BUKHARI,Independent
Multan,Multan-VI,NA-159,DEWAN SASHIQ HUSSAIN BUKHARI,Independent
Multan,Multan-VI,NA-159,RANA SHAHZEB AHMAD NOON,Independent
Multan,Multan-VI,NA-159,RANA MUHAMMAD QASIM NOON,Pakistan Tehreek-e-Insaf
Multan,Multan-VI,NA-159,SIDDIQUE AHMAD,Independent
Multan,Multan-VI,NA-159,MUHAMMAD ASHGAR,Independent
Multan,Multan-VI,NA-159,MUHAMMAD IQBAL,Tehreek Tabdili Nizam Pakistan
Multan,Multan-VI,NA-159,MUHAMMAD AKRAM,Independent
Multan,Multan-VI,NA-159,MUHAMMAD ZULQARNAIN BUKHARI,Pakistan Muslim League (N)
Multan,Multan-VI,NA-159,MUHAMMAD SHEHARYAR NOON,Independent
Multan,Multan-VI,NA-159,MUHAMMAD SHAHZAD HUSSAIN,Independent
Multan,Multan-VI,NA-159,MUHANNAD ABBAS,Tehreek Labbaik Pakistan
Multan,Multan-VI,NA-159,MEHDI ABBAS KHAN,Independent
Multan,Multan-VI,NA-159,NAGHMA MUSHTAQ,Independent
Lodhran,Lodhran-I,NA-160,RANA MOIN FAREED NOON,Tehreek Labbaik Pakistan
Lodhran,Lodhran-I,NA-160,ABDUL REHMAN KHAN KANJU,Pakistan Muslim League (N)
Lodhran,Lodhran-I,NA-160,LIAQAT ALI KHAN,Pakistan Peoples Party Parlementarians
Lodhran,Lodhran-I,NA-160,MUHAMMAD AKHTAR KHAN KANJU,Pakistan Tehreek-e-Insaf
Lodhran,Lodhran-I,NA-160,NAWAB AMANULLAH KHAN,Independent
Lodhran,Lodhran-II,NA-161,KHAN MUHAMMAD SIDDIQUE KHAN BALOOCH,Pakistan Muslim League (N)
Lodhran,Lodhran-II,NA-161,SALEEM ABBAS,Saraiskistan Democratic Party
Lodhran,Lodhran-II,NA-161,SYED IMRAN RAZA GILANI,Independent
Lodhran,Lodhran-II,NA-161,SYED MUHAMMAD AZHAR SHAH,Independent
Lodhran,Lodhran-II,NA-161,ZIA UR REHMAN TAMIMI,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Lodhran,Lodhran-II,NA-161,AYESHA GULALAI WAZIR,Pakistan Tehreek-e-Insaf
Lodhran,Lodhran-II,NA-161,IFFAT TAHIRA,Allah-o-Akhar Tehreek
Lodhran,Lodhran-II,NA-161,MUHAMMAD IQBAL SHAH,Independent
Lodhran,Lodhran-II,NA-161,MUHAMMAD AKRAM QASIR,Tehreek Labbaik Pakistan
Lodhran,Lodhran-II,NA-161,MUHAMMAD AMIR IQBAL SHAH,Independent
Lodhran,Lodhran-II,NA-161,MUHAMMAD UMAIR BALOOCH,Independent
Lodhran,Lodhran-II,NA-161,MUHAMMAD MUSHTAQ MALIK,Pakistan amam tehreek
Lodhran,Lodhran-II,NA-161,MIAN SAJID,Independent
Lodhran,Lodhran-II,NA-161,MIAN MUHAMMAD SHAFIQ,Pakistan Tehreek-e-Insaf
Lodhran,Lodhran-II,NA-161,WASEEM AHMAD,Independent
Vehari,Vehari-1,NA-162,Irshad Ahmed,Independent
Vehari,Vehari-1,NA-162,Choudary Faqir Ahmad,Pakistan Muslim League (N)
Vehari,Vehari-I,NA-162,Khalid Mahmood Chohaan,Pakistan Tehreek-e-Insaf
Vehari,Vehari-I,NA-162,Dewan Ghulam Fareed Sajid,Tehreek-e-Labbaik Pakistan
Vehari,Vehari-I,NA-162,Shaheen Iqbal,Mutthida Majlis-e-Amal pakistan
Vehari,Vehari-I,NA-162,Shagufta Chaudhry,Independent
Vehari,Vehari-I,NA-162,Ayesha Nazir,Independent
Vehari,Vehari-I,NA-162,Kamran yousaf ghuman,Pakistan Peoples Party Parlimentarians
Vehari,Vehari-I,NA-162,Malik Zulfiqar hussain Awan,Pakistan Ittehad (Ch.Anwar)
Vehari,Vehari-II,NA-163,Sajid Mehdi,Pakistan Muslim League (N)
Vehari,Vehari-II,NA-163,Syed Muhammad Ismail Shah,Tehreek-e-Labbaik Pakistan
Vehari,Vehari-II,NA-163,Arifa Nazir,Independent
Vehari,Vehari-II,NA-163,Guhlam Murtaza,Pakistan Human Party
Vehari,Vehari-II,NA-163,Muhammad Ishaq Khan Khakwani,Pakistan Tehreek-e-Insaf
Vehari,Vehari-II,NA-163,Muhammad Akram,Independent
Vehari,Vehari-II,NA-163,Muhammad Anwar,Pakistan Kissan Ittehad (Ch.Anwar)
Vehari,Vehari-II,NA-163,Muhammad Javed Khan,Independent
Vehari,Vehari-II,NA-163,Natasha Daultana,Pakistan Peoples Party Parlimentarians
Vehari,Vehari-III,NA-164,Aftab Ahmad Khan Khichi,Independent
Vehari,Vehari-III,NA-164,Begum Tehmina Doultana,Pakistan Muslim League (N)
Vehari,Vehari-III,NA-164,Rana Fakhar Islam,Independent
Vehari,Vehari-III,NA-164,Shoukat Ali,Independent
Vehari,Vehari-III,NA-164,Sagheer Ahmad,Independent
Vehari,Vehari-III,NA-164,Tahir Iqbal,Pakistan Tehreek-e-Insaf
Vehari,Vehari-III,NA-164,Zafar Ali,Independent
Vehari,Vehari-III,NA-164,Abdul Waheed,Independent
Vehari,Vehari-III,NA-164,Ghulam Sarwar Khan Khichi,Pakistan Peoples Party Parlimentarians
Vehari,Vehari-III,NA-164,Muhammad Ashraf Khalid,Tehreek-e-Labbaik Pakistan
Vehari,Vehari-III,NA-164,Muhammad Ghafir,Aman Taraqqi Party
Vehari,Vehari-III,NA-164,Muhammad Farooq Irshad,Jamhoori Wattan Party
Vehari,Vehari-III,NA-164,Muhammad Naeem Akhtar Khan,Independent
Vehari,Vehari-III,NA-164,Malik Azmat Ullah Khan,Independent
Vehari,Vehari-IV,NA-165,Asif Saeed,Independent
Vehari,Vehari-IV,NA-165,Ahmad Nawaz Khan Khichi,Independent
Vehari,Vehari-IV,NA-165,Aurangzeb Khan Khichi,Pakistan Tehreek-e-Insaf
Vehari,Vehari-IV,NA-165,Haq Dad Ali Khan,Independent
Vehari,Vehari-IV,NA-165,Saeed Ahmad Khan Manais,Pakistan Muslim League (N)
Vehari,Vehari-IV,NA-165,Abdullah Hayat Khan,Independent
Vehari,Vehari-IV,NA-165,Ghulam Mustafa,Tehreek-e-Labbaik Pakistan
Vehari,Vehari-IV,NA-165,Mahmood Hayat Khan,Pakistan Peoples Party Parlimentarians
Vehari,Vehari-IV,NA-165,Mian Majid Nawaz,Independent
Bahawalnagar,Bahawalnagar-I,NA-166,Syed Muhammad Asghar,Pakistan Tehreek-e-Insaf
Bahawalnagar,Bahawalnagar-I,NA-166,Syed Nazar Mahmood Shah,Independent
Bahawalnagar,Bahawalnagar-I,NA-166,Shah Sawar,Independent
Bahawalnagar,Bahawalnagar-I,NA-166,Guhlam Nabi,Pakistan Human Party
Bahawalnagar,Bahawalnagar-I,NA-166,Muhammad Arshad Khan,Tehreek-e-Labbaik Pakistan
Bahawalnagar,Bahawalnagar-I,NA-166,Muhammad Abdul Ghafar Watto,Independent
Bahawalnagar,Bahawalnagar-I,NA-166,Nazia Ayoub,Pakistan Peoples Party Parlimentarians
Bahawalnagar,Bahawalnagar-II,NA-167,Arsalan Khan Khakwani,Mutthida Majlis-e-Amal pakistan
Bahawalnagar,Bahawalnagar-II,NA-167,Syed Fazal Mehmood Shah,Pakistan Peoples Party Parlimentarians
Bahawalnagar,Bahawalnagar-II,NA-167,Syed Muzzammil Hussain Shah,Tehreek-e-Labbaik Pakistan
Bahawalnagar,Bahawalnagar-II,NA-167,Shoukat Ali Lalaka,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Alam Dad Lalaika,Pakistan Muslim League (N)
Bahawalnagar,Bahawalnagar-II,NA-167,Ishrat Bagum,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Muhammad Aslam,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Muhammad Ijaz Ul Haq,Pakistan Muslim League (Z)
Bahawalnagar,Bahawalnagar-II,NA-167,Muhammad Azam,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Muhammad Akram Tahir,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Muhammad Rauf,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Muhammad Shahzad,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Mian Mumtaz Ahmed,Independent
Bahawalnagar,Bahawalnagar-II,NA-167,Mian Mumtaz Ahmed Mutayana,Pakistan Tehreek-e-Insaf
Bahawalnagar,Bahawalnagar-III,NA-168,Ehsan Ul Haq Bajwa,Pakistan Muslim League(N)
Bahawalnagar,Bahawalnagar-III,NA-168,Kahlil-Ur-Rehman,Tehreek-e-Labbaik Pakistan
Bahawalnagar,Bahawalnagar-III,NA-168,Tariq Aziz,Pakistan Human Party
Bahawalnagar,Bahawalnagar-III,NA-168,Zafar Iqbal Chaudhary,Independent
Bahawalnagar,Bahawalnagar-III,NA-168,Zaheer Ilyas,Pakistan Awami Raj
Bahawalnagar,Bahawalnagar-III,NA-168,Abdul Majeed,Pakistan Peoples Party Parlimentarians
Bahawalnagar,Bahawalnagar-III,NA-168,Fatima Tahir Cheema,Pakistan Tehreek-e-Insaf
Bahawalnagar,Bahawalnagar-III,NA-168,Kashif Sana,Independent
Bahawalnagar,Bahawalnagar-III,NA-168,Muhammad Ijaz Ul Haq,Independent
Bahawalnagar,Bahawalnagar-IV,NA-169,Abrar Azam,Pakistan Peoples Party (Shaheed Bhutto)
Bahawalnagar,Bahawalnagar-IV,NA-169,Ahmad Khan Kamcha,Tehreek-e-Labbaik Pakistan
Bahawalnagar,Bahawalnagar-IV,NA-169,Khadija Khanam,Independent
Bahawalnagar,Bahawalnagar-IV,NA-169,Shoukat Mehmood,Independent
Bahawalnagar,Bahawalnagar-IV,NA-169,Ishrat Manzoor,Mutthida Majlis-e-Amal pakistan
Bahawalnagar,Bahawalnagar-IV,NA-169,Ghulam Murtaza,Independent
Bahawalnagar,Bahawalnagar-IV,NA-169,Muhammad Ismail,Aman Taraqqi Party
